Name: CCTV-6, URL: http://202.100.46.58:9901/tsfile/live/1005_1.m3u8, Date: None, Resolution: None, Response Time: 444ms
Name: CCTV-6, URL: https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000, Date: 03-21-2023, Resolution: None, Response Time: 1111ms
Name: CCTV-8, URL: https://live.v1.mk/api/ghyx.php?id=CCTV8HD_6000, Date: 03-21-2023, Resolution: None, Response Time: 758ms
Name: CCTV-17, URL: https://live.v1.mk/api/bestv.php?id=cctv17hd8m/8000000, Date: 03-21-2023, Resolution: None, Response Time: 957ms
Name: 四川科教, URL: http://live.goodiptv.club/api/sxg.php?id=SCTV-ggSCTV-8_4000, Date: 12-18-2023, Resolution: None, Response Time: 1289ms
Name: 四川新闻, URL: http://live.goodiptv.club/api/sxg.php?id=SCTV-4H265_4000, Date: 12-18-2023, Resolution: None, Response Time: 966ms
Name: 四川经济, URL: http://live.goodiptv.club/api/sxg.php?id=SCTV-2-H265_4000, Date: 12-18-2023, Resolution: None, Response Time: 647ms
Name: 四川康定, URL: http://m3u8-kd.channel.ganzitv.com/nmip-media-yajiang/channellive/channel100663/playlist.m3u8?, Date: 10-18-2024, Resolution: 1280x720, Response Time: 1122ms
Name: 四川康定, URL: http://live.goodiptv.club/api/sxg.php?id=gzkdxwzh_2000, Date: 12-18-2023, Resolution: None, Response Time: 983ms
Name: 四川康定, URL: http://kdfile.ganzitv.com/nmip-media/channellive/channel100663/playlist.m3u8, Date: 10-01-2024, Resolution: None, Response Time: 1215ms
Name: 四川乡村, URL: http://api2.52tb.xyz/info?id=606&token=20230405tndmhg, Date: 01-04-2024, Resolution: None, Response Time: 721ms
Name: 四川乡村, URL: http://live.goodiptv.club/api/sxg.php?id=SCTV-kjSCTV-9-_4000, Date: 02-18-2024, Resolution: None, Response Time: 1014ms
Name: 北京卫视, URL: http://124.128.73.58:9901/tsfile/live/0122_1.m3u8, Date: None, Resolution: None, Response Time: 448ms
Name: 湖北卫视, URL: http://115.149.139.141:10001/tsfile/live/1027_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 930ms
Name: 安徽卫视, URL: http://115.149.139.141:10001/tsfile/live/1025_1.m3u8, Date: 03-20-2023, Resolution: None, Response Time: 418ms
Name: 甘肃卫视, URL: http://202.100.46.58:9901/tsfile/live/1035_1.m3u8, Date: None, Resolution: None, Response Time: 457ms
Name: 贵州卫视, URL: http://202.100.46.58:9901/tsfile/live/1034_1.m3u8, Date: None, Resolution: None, Response Time: 1457ms
Name: 海南卫视, URL: https://live.v1.mk/api/bestv.php?id=hainanwshd8m/8000000, Date: 03-21-2023, Resolution: None, Response Time: 772ms
Name: 青海卫视, URL: http://124.128.73.58:9901/tsfile/live/0140_1.m3u8, Date: None, Resolution: None, Response Time: 446ms
Name: 陕西卫视, URL: http://202.100.46.58:9901/tsfile/live/1017_1.m3u8, Date: None, Resolution: None, Response Time: 446ms
Name: 翡翠台, URL: http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941619, Date: 06-05-2023, Resolution: None, Response Time: 281ms
Name: 明珠台, URL: http://zw9999.cnstream.top:80/play/ubI0Nrlni6TwusjXuSxNxEzv3SLBhKEUmYG73triGDY/ts, Date: 11-01-2023, Resolution: None, Response Time: 584ms
Name: TVBS亚洲, URL: http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=571185&extension=ts&play_token=wD7CZpooiF, Date: 05-25-2023, Resolution: None, Response Time: 280ms
Name: TVBS亚洲, URL: http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941621&extension=ts&play_token=vFR5CkmzbA, Date: 05-25-2023, Resolution: None, Response Time: 283ms
